"","x","y"
"1",47,1
"2",223,4
"3",46,2
"4",1,2
"5",135,3
"6",3,2
"7",251,4
"8",87,2
"9",233,3
"10",72,1
"11",116,1
"12",40,1
"13",25,1
"14",82,2
"15",179,4
"16",362,3
"17",265,2
"18",349,2
"19",25,2
"20",329,3
"21",117,4
"22",14,4
"23",14,3
"24",70,1
"25",86,2
"26",36,1
"27",340,2
"28",153,3
"29",80,2
"30",31,4
"31",115,4
"32",242,1
"33",276,1
"34",171,1
"35",204,3
"36",257,2
"37",6,2
"38",67,2
"39",179,4
"40",93,4
"41",94,3
"42",253,4
"43",338,4
"44",80,1
"45",311,3
"46",78,4
"47",78,4
"48",18,4
"49",247,1
"50",247,1
"51",44,3
"52",345,4
"53",345,4
"54",123,1
"55",132,3
"56",356,3
"57",36,2
"58",48,1
"59",252,1
"60",291,4
"61",67,2
"62",318,4
"63",276,2
"64",50,1
"65",56,1
"66",73,4
"67",62,3
"68",4,3
"69",308,3
"70",124,1
"71",273,3
"72",85,1
"73",187,4
"74",279,2
"75",312,2
"76",267,2
"77",36,3
"78",291,1
"79",227,1
"80",114,4
"81",23,1
"82",64,3
"83",218,2
"84",36,3
"85",364,1
"86",44,1
"87",23,4
"88",163,2
"89",113,4
"90",113,2
"91",262,1
"92",304,3
"93",59,3
"94",219,1
"95",8,1
"96",116,3
"97",342,1
"98",244,2
"99",157,3
"100",283,4
"101",45,1
"102",104,2
"103",297,1
"104",157,2
"105",261,1
"106",269,1
"107",329,1
"108",202,1
"109",280,3
"110",42,2
"111",40,4
"112",245,2
"113",322,2
"114",328,1
"115",108,1
"116",49,2
"117",142,1
"118",43,3
"119",73,2
"120",274,4
"121",72,1
"122",272,4
"123",206,4
"124",160,2
"125",295,3
"126",99,2
"127",305,3
"128",29,2
"129",141,2
"130",176,3
"131",123,4
"132",357,1
"133",360,1
"134",62,3
"135",307,2
"136",14,2
"137",270,2
"138",126,1
"139",90,2
"140",1,3
"141",316,2
"142",96,1
"143",320,1
"144",346,1
"145",267,2
"146",93,3
"147",291,3
"148",162,3
"149",25,3
"150",281,2
"151",320,1
"152",338,2
"153",120,2
"154",189,1
"155",189,1
"156",350,3
"157",143,2
"158",206,1
"159",135,3
"160",310,2
"161",344,4
"162",318,1
"163",316,3
"164",250,4
"165",68,1
"166",297,3
"167",204,3
"168",29,1
"169",0,3
"170",244,1
"171",186,3
"172",49,4
"173",113,4
"174",48,2
"175",182,2
"176",205,4
"177",30,1
"178",153,1
"179",88,3
"180",188,1
"181",151,3
"182",124,2
"183",215,4
"184",318,3
"185",93,3
"186",321,3
"187",255,1
"188",342,2
"189",175,1
"190",54,4
"191",54,3
"192",165,1
"193",191,3
"194",314,2
"195",270,3
"196",111,1
"197",338,2
"198",129,2
"199",148,1
"200",148,1
"201",223,4
"202",178,3
"203",92,1
"204",307,3
"205",97,2
"206",22,3
"207",198,3
"208",188,4
"209",31,3
"210",285,2
"211",56,2
"212",205,2
"213",46,3
"214",71,1
"215",179,2
"216",234,1
"217",86,3
"218",83,2
"219",339,1
"220",130,2
"221",107,3
"222",93,1
"223",332,3
"224",273,3
"225",286,1
"226",209,1
"227",214,1
"228",324,4
"229",87,2
"230",142,3
"231",150,3
"232",363,2
"233",364,3
"234",303,1
"235",17,1
"236",43,4
"237",142,1
"238",61,4
"239",61,4
"240",352,1
"241",352,3
"242",352,4
"243",175,2
"244",166,1
"245",18,3
"246",153,2
"247",200,3
"248",155,3
"249",131,3
"250",62,2
"251",49,2
"252",260,2
"253",281,1
"254",162,2
"255",361,3
"256",210,3
"257",262,1
"258",286,2
"259",350,3
"260",53,2
"261",207,2
"262",265,1
"263",286,1
"264",204,2
"265",212,3
"266",35,2
"267",90,1
"268",230,1
"269",71,1
"270",173,3
"271",147,3
"272",12,3
"273",279,3
"274",189,4
"275",188,4
"276",159,4
"277",289,4
"278",348,3
"279",34,3
"280",36,1
"281",66,4
"282",87,1
"283",227,2
"284",167,2
"285",149,1
"286",333,4
"287",56,2
"288",43,2
"289",234,3
"290",350,1
"291",243,1
"292",139,3
"293",59,2
"294",54,1
"295",285,1
"296",70,4
"297",305,4
"298",13,1
"299",331,1
"300",27,3
"301",223,3
"302",148,1
"303",35,1
"304",108,3
"305",150,3
"306",120,2
"307",303,1
"308",346,2
"309",162,3
"310",312,2
"311",214,2
"312",80,4
"313",23,2
"314",170,1
"315",241,2
"316",14,1
"317",302,1
"318",288,2
"319",35,1
"320",362,3
"321",311,4
"322",98,3
"323",13,3
"324",353,1
"325",74,1
"326",45,1
"327",234,2
"328",79,2
"329",165,1
"330",52,1
"331",142,4
"332",25,1
"333",224,3
"334",224,4
"335",267,4
"336",268,3
"337",129,2
"338",222,3
"339",9,3
"340",163,1
"341",298,2
"342",30,1
"343",112,1
"344",273,2
"345",78,4
"346",66,3
"347",209,2
"348",53,2
"349",238,4
"350",170,1
"351",72,3
"352",318,1
"353",207,1
"354",235,1
"355",218,2
"356",218,2
"357",211,1
"358",204,2
"359",330,4
"360",185,4
"361",280,3
"362",115,3
"363",111,2
"364",331,2
"365",141,1
"366",111,4
"367",100,2
"368",238,3
"369",43,3
"370",100,1
"371",155,2
"372",225,4
"373",347,2
"374",247,4
"375",192,1
"376",75,3
"377",75,3
"378",233,1
"379",163,3
"380",156,2
"381",343,4
"382",285,3
"383",13,1
"384",335,1
"385",362,2
"386",356,2
"387",247,2
"388",286,3
"389",227,2
"390",43,2
"391",193,2
"392",134,2
"393",134,2
"394",140,2
"395",51,1
"396",188,4
"397",338,2
"398",221,1
"399",338,2
"400",120,4
"401",133,1
"402",252,2
"403",297,1
"404",29,4
"405",189,2
"406",34,1
"407",218,4
"408",326,2
"409",296,3
"410",113,2
"411",293,3
"412",267,2
"413",6,1
"414",103,1
"415",131,3
"416",40,1
"417",263,1
"418",101,4
"419",190,2
"420",233,2
"421",164,2
"422",47,3
"423",20,3
"424",45,1
"425",339,3
"426",144,1
"427",189,3
"428",345,4
"429",50,2
"430",263,2
"431",358,1
"432",98,2
"433",61,4
"434",45,1
"435",74,1
"436",317,4
"437",108,3
"438",335,1
"439",253,2
"440",50,3
"441",326,2
"442",69,3
"443",53,4
"444",320,2
"445",117,4
"446",162,1
"447",314,3
"448",52,1
"449",77,1
"450",54,1
"451",202,1
"452",345,4
"453",219,2
"454",262,3
"455",6,2
"456",189,4
"457",77,1
"458",27,2
"459",305,3
"460",294,1
"461",257,4
"462",60,1
"463",211,2
"464",189,1
"465",280,1
"466",280,1
"467",102,2
"468",181,1
"469",313,1
"470",46,1
"471",280,4
"472",66,2
"473",294,1
"474",64,4
"475",38,1
"476",319,3
"477",157,2
"478",52,2
"479",40,1
"480",78,2
"481",132,1
"482",28,1
"483",49,4
"484",49,4
"485",207,2
"486",34,2
"487",68,2
"488",9,3
"489",142,3
"490",271,4
"491",200,3
"492",263,2
"493",250,4
"494",263,2
"495",115,1
"496",71,3
"497",343,2
"498",331,1
"499",346,2
"500",197,4
"501",165,2
"502",122,3
"503",343,3
"504",52,3
"505",88,3
"506",63,1
"507",184,1
"508",161,3
"509",290,2
"510",87,3
"511",315,3
"512",191,1
"513",57,1
"514",2,4
"515",290,4
"516",346,1
"517",21,1
"518",75,4
"519",73,1
"520",265,2
"521",221,1
"522",285,3
"523",275,4
"524",37,1
"525",49,2
"526",265,4
"527",122,2
"528",102,2
"529",27,2
"530",354,3
"531",340,2
"532",206,2
"533",217,1
"534",181,1
"535",185,3
"536",29,1
"537",20,2
"538",314,2
"539",232,2
"540",256,4
"541",8,1
"542",4,2
"543",35,4
"544",5,3
"545",182,2
"546",113,4
"547",61,1
"548",193,3
"549",291,1
"550",173,3
"551",11,1
"552",285,2
"553",174,3
"554",258,1
"555",343,2
"556",131,2
"557",247,1
"558",219,4
"559",168,2
"560",64,3
"561",13,1
"562",278,3
"563",349,3
"564",152,2
"565",319,4
"566",155,3
"567",244,1
"568",83,1
"569",293,1
"570",21,3
"571",134,3
"572",221,2
"573",118,1
"574",12,2
"575",350,2
"576",167,2
"577",163,1
"578",350,3
"579",174,4
"580",223,2
"581",67,1
"582",283,1
"583",61,1
"584",167,2
"585",60,4
"586",29,3
"587",246,2
"588",245,2
"589",142,3
"590",69,2
"591",286,1
"592",256,2
"593",199,4
"594",313,2
"595",103,1
"596",106,3
"597",82,4
"598",244,3
"599",17,1
"600",203,3
"601",50,1
"602",47,1
"603",78,4
"604",76,1
"605",72,1
"606",74,1
"607",16,4
"608",265,3
"609",156,1
"610",10,1
"611",171,2
"612",336,4
"613",300,1
"614",167,3
"615",242,3
"616",243,4
"617",274,2
"618",351,1
"619",26,1
"620",258,3
"621",311,3
"622",167,1
"623",76,2
"624",275,1
"625",104,2
"626",90,3
"627",318,1
"628",288,2
"629",6,2
"630",321,1
"631",62,2
"632",125,1
"633",94,3
"634",242,2
"635",272,1
"636",135,2
"637",210,3
"638",346,1
"639",328,1
"640",232,3
"641",217,2
"642",60,3
"643",299,2
"644",210,3
"645",91,3
"646",131,4
"647",263,2
"648",155,1
"649",87,2
"650",265,1
"651",37,1
"652",5,2
"653",207,2
"654",207,2
"655",26,3
"656",322,3
"657",332,3
"658",212,4
"659",154,4
"660",361,1
"661",277,1
"662",216,1
"663",235,2
"664",320,1
"665",261,4
"666",281,4
"667",333,3
"668",209,2
"669",51,3
"670",280,4
"671",307,2
"672",318,3
"673",253,1
"674",38,3
"675",345,1
"676",87,1
"677",254,4
"678",260,1
"679",245,1
"680",339,2
"681",40,4
"682",126,1
"683",254,3
"684",279,2
"685",357,2
"686",90,2
"687",212,3
"688",297,2
"689",0,1
"690",207,1
"691",289,1
"692",104,1
"693",74,1
"694",326,1
"695",23,1
"696",26,1
"697",258,1
"698",137,1
"699",220,1
"700",307,1
"701",296,1
"702",47,1
"703",153,1
"704",45,1
"705",23,1
"706",308,1
"707",83,1
"708",144,1
"709",233,1
"710",168,1
"711",242,2
"712",145,2
"713",260,2
"714",15,3
"715",319,2
"716",150,2
"717",281,2
"718",189,2
"719",36,2
"720",314,2
"721",336,2
"722",160,2
"723",222,2
"724",128,2
"725",357,2
"726",17,2
"727",291,2
"728",284,2
"729",182,2
"730",60,2
"731",252,2
"732",302,3
"733",157,2
"734",163,2
"735",252,2
"736",45,3
"737",314,3
"738",226,3
"739",173,3
"740",129,3
"741",286,3
"742",55,3
"743",183,3
"744",112,3
"745",263,3
"746",94,3
"747",249,3
"748",164,3
"749",17,2
"750",69,3
"751",275,3
"752",249,4
"753",287,4
"754",96,4
"755",297,4
"756",332,4
"757",171,4
"758",259,4
"759",311,4
"760",324,4
"761",119,4
"762",253,4
"763",251,4
"764",235,1
"765",55,1
"766",363,1
"767",39,1
"768",140,1
"769",46,1
"770",27,1
"771",215,1
"772",303,1
"773",114,1
"774",322,1
"775",143,1
"776",46,1
"777",146,1
"778",151,1
"779",185,1
"780",278,1
"781",26,1
"782",178,1
"783",91,1
"784",150,1
"785",98,1
"786",236,2
"787",225,2
"788",37,2
"789",331,2
"790",89,2
"791",153,2
"792",286,2
"793",4,2
"794",353,2
"795",209,2
"796",292,2
"797",158,2
"798",304,2
"799",122,2
"800",161,2
"801",292,2
"802",201,2
"803",344,2
"804",209,2
"805",200,2
"806",0,2
"807",280,3
"808",83,3
"809",286,3
"810",306,3
"811",321,3
"812",246,3
"813",148,3
"814",353,3
"815",344,3
"816",155,3
"817",16,3
"818",131,3
"819",286,3
"820",268,3
"821",95,3
"822",138,3
"823",62,3
"824",56,3
"825",25,4
"826",105,4
"827",288,4
"828",293,4
"829",104,4
"830",200,4
"831",177,4
"832",28,4
"833",216,4
"834",56,4
"835",178,4
"836",101,4
"837",221,4
"838",333,4
"839",268,1
"840",67,2
"841",39,1
"842",172,1
"843",312,1
"844",241,1
"845",168,1
"846",255,1
"847",209,1
"848",75,1
"849",157,2
"850",112,1
"851",128,1
"852",352,1
"853",360,1
"854",46,1
"855",62,1
"856",302,1
"857",77,1
"858",66,1
"859",251,1
"860",265,1
"861",26,2
"862",295,2
"863",9,2
"864",106,3
"865",40,2
"866",294,2
"867",119,2
"868",204,2
"869",346,2
"870",274,2
"871",7,2
"872",243,2
"873",163,2
"874",174,2
"875",110,2
"876",291,2
"877",311,2
"878",35,1
"879",183,2
"880",303,2
"881",301,3
"882",122,2
"883",126,3
"884",8,3
"885",99,3
"886",22,3
"887",203,3
"888",33,3
"889",9,3
"890",175,3
"891",47,2
"892",66,3
"893",233,3
"894",247,3
"895",145,3
"896",99,3
"897",107,3
"898",125,4
"899",140,4
"900",242,3
"901",181,4
"902",28,4
"903",116,4
"904",315,4
"905",218,3
"906",174,4
"907",342,4
"908",108,4
"909",108,4
"910",292,1
"911",221,1
"912",324,1
"913",101,1
"914",277,1
"915",10,1
"916",228,1
"917",202,1
"918",307,1
"919",46,1
"920",195,1
"921",154,1
"922",246,1
"923",110,1
"924",328,1
"925",222,1
"926",257,1
"927",55,1
"928",77,1
"929",177,1
"930",110,1
"931",307,1
"932",292,1
"933",219,2
"934",111,2
"935",302,2
"936",353,2
"937",208,2
"938",282,2
"939",32,2
"940",84,2
"941",298,2
"942",289,2
"943",229,2
"944",134,2
"945",25,2
"946",106,2
"947",293,2
"948",1,2
"949",249,2
"950",182,2
"951",174,2
"952",78,3
"953",319,3
"954",178,3
"955",250,3
"956",56,3
"957",10,3
"958",94,3
"959",45,3
"960",38,3
"961",351,3
"962",342,3
"963",350,3
"964",54,3
"965",114,3
"966",270,3
"967",135,3
"968",155,3
"969",136,3
"970",312,4
"971",331,4
"972",87,4
"973",152,4
"974",321,4
"975",130,4
"976",202,2
"977",79,3
"978",360,4
"979",360,1
"980",3,1
"981",314,1
"982",17,1
"983",106,1
"984",111,1
"985",76,1
"986",106,1
"987",285,1
"988",269,1
"989",279,2
"990",359,1
"991",350,1
"992",261,1
"993",93,1
"994",142,1
"995",183,1
"996",359,1
"997",115,1
"998",107,1
"999",77,1
"1000",352,1
"1001",58,1
"1002",290,2
"1003",26,2
"1004",284,2
"1005",119,2
"1006",241,2
"1007",119,2
"1008",107,2
"1009",224,2
"1010",148,2
"1011",294,2
"1012",35,2
"1013",347,2
"1014",352,2
"1015",335,2
"1016",184,2
"1017",7,2
"1018",283,2
"1019",100,2
"1020",79,2
"1021",192,2
"1022",141,2
"1023",305,2
"1024",86,3
"1025",256,3
"1026",362,3
"1027",107,3
"1028",343,3
"1029",249,3
"1030",251,3
"1031",244,3
"1032",198,3
"1033",209,3
"1034",284,3
"1035",79,3
"1036",185,3
"1037",287,4
"1038",24,4
"1039",129,4
"1040",42,4
"1041",351,4
"1042",272,4
"1043",59,4
"1044",209,4
"1045",213,4
"1046",269,4
"1047",6,1
"1048",208,1
"1049",109,1
"1050",155,1
"1051",342,1
"1052",256,1
"1053",258,1
"1054",295,1
"1055",42,1
"1056",53,1
"1057",64,1
"1058",200,1
"1059",22,1
"1060",254,1
"1061",0,1
"1062",87,1
"1063",182,1
"1064",201,1
"1065",102,1
"1066",149,1
"1067",10,1
"1068",246,1
"1069",19,2
"1070",309,2
"1071",64,2
"1072",158,2
"1073",102,2
"1074",270,2
"1075",278,2
"1076",263,2
"1077",132,2
"1078",224,2
"1079",303,2
"1080",22,2
"1081",109,2
"1082",318,4
"1083",292,2
"1084",154,2
"1085",67,2
"1086",336,2
"1087",292,2
"1088",148,2
"1089",177,3
"1090",260,4
"1091",247,3
"1092",263,3
"1093",314,3
"1094",195,3
"1095",211,3
"1096",151,3
"1097",282,3
"1098",362,3
"1099",292,3
"1100",210,3
"1101",137,3
"1102",213,3
"1103",116,3
"1104",355,3
"1105",24,3
"1106",336,3
"1107",363,4
"1108",146,4
"1109",24,4
"1110",107,4
"1111",345,4
"1112",161,4
"1113",209,4
"1114",243,4
